Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
XAU,5010.0,1362885.5584607497,7.179332145570829,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5015.0,568567.0499084657,3.0203728184181804,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5020.0,917449.3009659483,6.936919752528637,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5025.0,4372526.731774564,37.79948455397427,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5030.0,1347746.6063920155,7.260391463186232,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5035.0,1188613.3459872266,6.757094913684976,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5040.0,1455278.8967728731,7.585279946015535,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5045.0,1198218.3026200891,6.218079324635586,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5050.0,13579817.675463691,101.2549132527183,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5055.0,536335.3783862924,3.5210151361201816,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5060.0,899686.3814426817,6.834769453966935,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5065.0,413834.8520157619,2.199526436600847,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5070.0,1292510.673308088,6.9744495207989585,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
XAU,5075.0,4082840.6585125625,27.40755230937422,0.0,0.0,0.0,0.0,0.0,0.0,4428.644673660637,4324.155326339363,4480.889347321273,4271.910652678726,DEC26,SEP26,2026-09-25,2026-11-23,4376.4,4286.11766987703,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;FEB28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY,OCT26=4342.7;SEP26=4376.4;NOV26=4376.8;DEC26=4377.1;JAN27=4413.7;OCT27=5118.95;FEB28=4635.8;JUN27=4488.3;FEB27=4414.2;MAR27=4449.45;APR27=4449.5;MAY27=4488.6;DEC27=4618.8;JUL27=4528.45;AUG27=4528.4;SEP27=4567.35;APR28=4784.1;JUL28=4944.2;MAY28=4924.9;DEC28=5569.4;JAN28=5689.6,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-30,5,136,0.0,NONE,5877,5677,0,17,183,NONE,NONE,OK,NONE,NONE,2026-09-22
