Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
XAU,3170.0,-2595.522740017561,0.013168009331251037,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3175.0,-82248.73389292262,0.4171739097953804,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3180.0,-9624.634472950465,0.04885360810544756,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3185.0,-4027.20439559648,0.020459286334365907,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3190.0,-6019.707866979939,0.030980692932575982,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3195.0,-2187.848988673935,0.01125962276653527,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3200.0,-1187671.749272164,6.710958347179081,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3205.0,-2115.7538207114553,0.010888848669344465,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3210.0,-502619.27806007763,2.5492597336377543,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3215.0,-28721.3726049719,0.14570984351542854,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3220.0,-1720.916176789391,0.008856794036361618,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3225.0,-187105.28716391762,0.9257521583257167,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3230.0,-15719.34449915499,0.07986737828118604,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3235.0,-5930.614845969716,0.0377765214409276,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,3240.0,-19486.405267806862,0.09903457504370858,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
