Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
BTC,113000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,115000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,117500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,122500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,167500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,172500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,177500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,185000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,187500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
BTC,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64536.5015592207,61743.4984407793,65933.0031184414,60346.9968815586,AUG26,AUG26,2026-08-28,2026-08-28,63140.0,66657.319604706,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,DEC26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY,DEC26=99512.5;AUG26=63140;SEP26=63555;OCT26=25000,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,19,59,0.0,NONE,278,163,0,0,115,NONE,NONE,OK,NONE,NONE,NONE
