Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
BTC,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,47500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,48500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
BTC,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79137.75796649534,75377.24203350466,81018.01593299069,73496.98406700931,SEP26,SEP26,2026-09-25,2026-09-25,77257.5,69645.724702649,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY,SEP26=77257.5;DEC26=80990;OCT26=77675;NOV26=77945;MAR27=55730;JAN27=104345,MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-25,10,128,0.0,NONE,241,241,0,0,0,NONE,NONE,OK,NONE,NONE,2026-09-10
