Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
XAU,3240.0,-18784.924723592547,0.09435466758350829,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3245.0,-38685.159266269504,0.194092725089964,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3250.0,-1282577.741503855,6.933080754872091,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3255.0,-34441.4499550176,0.1736407900396191,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3260.0,-3607.3257297852906,0.018266465757409225,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3265.0,-46787.26321974426,0.2346940872095069,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3270.0,-11227.784762124506,0.056434329980062606,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3275.0,-24186.986385432254,0.12231261283711797,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3280.0,-66069.6672791616,0.3329751456110788,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3285.0,-16638.389902188865,0.08375818466251313,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3290.0,-5686.121073552809,0.028743227659034677,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
XAU,3295.0,-30171.29972254365,0.15099715602802433,0.0,0.0,0.0,0.0,0.0,0.0,4476.20019656662,4392.39980343338,4518.100393133241,4350.49960686676,DEC26,AUG26,2026-08-14,2026-11-23,4434.3,4074.230522066702,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL;UNRESOLVED_EXPIRY,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4434.2;AUG26=4434.3;DEC26=4467.3;JAN27=4503.75;OCT27=4953.2;OCT26=4434;NOV26=4466.7;JUN27=4568.5;FEB27=4504.05;APR27=4534.6;DEC27=4688.2;MAR27=4536.5;MAY27=4565.8;JUL27=3331.8;AUG27=4883;SEP27=5456.9;DEC28=5353.1;JAN28=5653.8;FEB28=3834,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;SEP27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-20,5,12,0.0,NO_VALID_IMPLIED_VOL,5725,5229,0,14,481,NONE,NONE,WARN,IV_SHIFT,R68 IV proxy changed by a factor of 0.49,2026-08-12
